tool	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e
run set	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive
../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
recursive-simple/id2_i5_o5-2.yml	true	0.259738528	0.27098750499862945	22421504	true	9.091757973	4.824594419999812	190865408	true	23.577356296	13.852776100000028	473395200	true	32.454045513	20.813440455998716	569802752
recursive-simple/id_b2_o3.yml	TIMEOUT	60.987568002	61.69610394399933	65851392	true	9.310924808	4.9422041950001585	187863040	true	17.343207299	10.037060247000227	377356288	true	15.075787916	8.654741379999905	294395904
recursive-simple/id_b3_o2-2.yml	false(unreach-call)	0.669788063	0.6939925920014502	22458368	false(unreach-call)	9.872626535	5.244237758000054	197480448	false(unreach-call)	13.843091624	7.89955855900007	276770816	false(unreach-call)	15.054384823	8.624718900000516	303566848
recursive-simple/id_b3_o5-2.yml	false(unreach-call)	0.701733779	0.6931052849977277	22290432	true	8.927773963	4.7830283229995985	188342272	true	14.176521692	7.967470338000112	282824704	true	14.983887532	8.504993769000066	308613120
recursive-simple/id_b5_o10-2.yml	false(unreach-call)	0.604739652	0.602777428997797	22462464	true	8.907149454	4.728282906999993	188993536	true	12.667621667	7.452725292000196	269168640	true	14.903969583	8.544160600999021	308240384
recursive-simple/id_i10_o10-1.yml	false(unreach-call)	0.309588456	0.33437465300085023	22425600	false(unreach-call)	9.970156597	5.377282837000166	197550080	false(unreach-call)	25.5409089	15.445818278999923	548020224	false(unreach-call)	54.48163181	39.86087862199929	738062336
recursive-simple/id_i10_o10-2.yml	true	0.31346991	0.3120784659986384	22462464	true	9.329446322	5.009875068999463	192634880	true	27.367183387	15.85677451399988	526508032	true	56.264578606	38.741056761000436	740524032
recursive-simple/id_i15_o15-1.yml	true	0.343608267	0.3457380909967469	22433792	true	9.642669073	5.135638818999723	190316544	true	34.066397463	20.55244969200021	625479680	TIMEOUT	61.150771782	47.81785986400064	773369856
recursive-simple/id_i15_o15-2.yml	false(unreach-call)	0.308898353	0.29552723900269484	22294528	false(unreach-call)	10.854279367	5.739119074999508	223997952	false(unreach-call)	38.51594246	23.670712517000084	632131584	TIMEOUT	60.966485407	43.09463947099903	766619648
recursive-simple/id_i20_o20-1.yml	true	0.31844908	0.31765926699881675	22446080	true	10.077621905	5.335101194999879	191209472	true	49.192379328	29.698754964999807	684085248	TIMEOUT	60.810110907	44.32325593499991	827760640
recursive-simple/id_i20_o20-2.yml	false(unreach-call)	0.314399981	0.3176254119971418	22487040	false(unreach-call)	11.231704765	5.932786312000644	205500416	false(unreach-call)	55.239357859	36.25137596100012	721952768	TIMEOUT	60.437768887	41.74096912300047	803201024
recursive-simple/id_i25_o25-1.yml	true	0.31420606	0.31247823299781885	22454272	true	10.318692358	5.50998102199992	195354624	TIMEOUT	61.160840541	37.80964226900005	730669056	TIMEOUT	61.055757962	43.5592825599997	797716480
recursive-simple/id_i25_o25-2.yml	false(unreach-call)	0.306574289	0.2941072190005798	22331392	false(unreach-call)	10.930089229	5.853391586999351	207384576	TIMEOUT	60.648358169	40.44617313300023	754667520	TIMEOUT	60.813987288	43.25027397099984	753860608
recursive-simple/id_i5_o5-1.yml	false(unreach-call)	0.318080959	0.3033987669987255	22466560	false(unreach-call)	9.763160251	5.1958133919997636	199626752	false(unreach-call)	16.153019739	9.08945538800026	337846272	false(unreach-call)	21.555988531	12.990163709000626	484081664
recursive-simple/id_i5_o5-2.yml	true	0.317709906	0.3186052000019117	22257664	true	9.117403931	4.851806226000008	191541248	true	19.017590025	10.98827079900002	429195264	true	26.53319648	15.759686384000815	507006976
recursive-simple/id_o10.yml	false(unreach-call)	0.35447363	0.33970912999939173	22343680	false(unreach-call)	10.19221445	5.444021396000608	197771264	false(unreach-call)	28.811927418	16.76215987200021	518303744	false(unreach-call)	39.4134258	26.06003483600034	644177920
recursive-simple/id_o100.yml	false(unreach-call)	0.446656929	0.5067795719951391	22503424	false(unreach-call)	18.664920627	9.643775485999868	295788544	TIMEOUT	61.272073111	49.12510308799983	557117440	TIMEOUT	60.221287093	42.56600597999932	741007360
recursive-simple/id_o1000.yml	false(unreach-call)	0.345889546	0.3357719060004456	22372352	TIMEOUT	61.105599752	41.575041335000606	705622016	TIMEOUT	60.862249926	48.67694147800012	576024576	TIMEOUT	60.867350186	40.807913979999284	718467072
recursive-simple/id_o20.yml	false(unreach-call)	0.344282708	0.336419601997477	22417408	false(unreach-call)	11.174736004	5.967296343000271	213237760	TIMEOUT	61.61025497	49.62567773599994	593977344	TIMEOUT	61.315058461	41.967817655000545	722575360
recursive-simple/id_o200.yml	false(unreach-call)	0.365337867	0.35914327800128376	22360064	false(unreach-call)	30.004133731	15.62033109999993	463699968	TIMEOUT	61.494691934	49.45971313600012	561516544	TIMEOUT	60.933454634	41.1091555210005	723832832
recursive-simple/id_o3.yml	false(unreach-call)	0.345304333	0.33170504699955927	22380544	false(unreach-call)	9.409612319	5.033640350999121	194863104	false(unreach-call)	14.911376122	8.547051406000264	282398720	false(unreach-call)	16.604254874	9.500607253999988	344760320
recursive-simple/sum_10x0-1.yml	true	1.525624265	1.5418332269982784	26050560	true	10.096401773	5.3425825389995225	193966080	true	30.573604654	18.425713910000013	573755392	TIMEOUT	60.122581131	41.43109426199953	777355264
recursive-simple/sum_10x0-2.yml	false(unreach-call)	1.517875412	1.5096135969943134	26013696	false(unreach-call)	10.157807138	5.431501177000428	202579968	false(unreach-call)	24.582544475	14.089501400000245	502288384	false(unreach-call)	46.283524689	31.032374417998653	693153792
